artista,total_musicas,popularidade_media
Bad Boy Bill,13,7.9
Brandi Carlile;Lucius,8,7.9
Sheryl Crow,9,7.7
Crows in the Rain,28,7.7
Echosmith,10,7.7
Rhythim Is Rhythim;Derrick May;Mayday,6,7.7
Surgeon,38,7.7
Orlando Voorn,11,7.7
Bailey Zimmerman,29,7.7
DJ Skull,6,7.7
Aril Brikha,31,7.6
Sam Smith,36,7.5
Solomon Burke,9,7.4
No Doubt,11,7.4
Panic! At The Disco,27,7.3
Alejo;Feid;ROBI,12,7.3
Anuel AA;KAROL G,12,7.3
Robin Schulz;David Guetta,11,7.3
Kvatro,19,7.2
Death Cab for Cutie,9,7.2
ONYVAA;Mattia Trani,6,7.2
Zhanna Bichevskaya,16,7.1
Inner City;Steffanie Christi'an,8,7.1
Avery Anna,9,7.1
Zach Bryan,29,7.1
The Party Cats,29,7.0
Hunter Hayes,8,7.0
Kacey Musgraves,20,7.0
Katy Perry,37,6.9
Limahl,18,6.8
The Goo Goo Dolls,14,6.7
Gabby Barrett,22,6.7
Jack Harlow,49,6.6
Kevin Saunderson,8,6.6
Clean Bandit;A7S,11,6.5
David Guetta;Becky Hill;Ella Henderson,14,6.5
Kristin Chenoweth,7,6.4
Alexander Vertinsky,19,6.4
Jaymes Young,14,6.3
Michael Ball,7,6.3
Siavash Amini;Eugene Thacker,7,6.3
Wolfgang Amadeus Mozart;Ingrid Haebler;London Symphony Orchestra;Witold Rowicki,6,6.3
Bastille,13,6.2
Cody Johnson,21,6.2
Blind Faith,9,6.2
Anitta;Missy Elliott,12,6.1
Mabel,24,6.1
Burna Boy;Ed Sheeran,14,6.1
Andrea Bocelli;Matteo Bocelli;Virginia Bocelli,14,5.9
Jhayco;Anuel AA,14,5.9
Omar Apollo,18,5.8
Amy Macdonald,13,5.8
Николай Рыбников,6,5.8
Aux 88,9,5.8
The Countdown Kids,34,5.8
Winona Oak,10,5.7
Los Rodriguez,6,5.7
Alvaro Diaz,7,5.6
NEIKED;Anne-Marie;Latto,13,5.6
Johann Sebastian Bach;Hagen Quartett,8,5.6
twocolors,14,5.4
Florence + The Machine,14,5.4
Mon Laferte,9,5.3
Justin Bieber,57,5.2
Faith Hill,13,5.2
Madeline The Person,14,5.1
Annie Lennox,14,5.1
Jhayco;Bad Bunny,17,5.1
Hugh Masekela,14,5.1
Cole Swindell,17,5.0
The Cranberries,18,4.9
Norah Jones,75,4.9
Lianne La Havas,12,4.9
Don Omar,29,4.8
VeggieTales,6,4.8
Jill Johnson,7,4.7
Brenda Lee,80,4.7
Confess,33,4.7
The Laurie Berkner Band,14,4.6
Otis Redding,18,4.3
Bruno Mars;Anderson .Paak;Silk Sonic,30,4.1
Saba Alizadeh,8,3.9
Misfits,10,3.9
Tatiana and Sergey Nikitin,11,3.8
Ingrid Andress,20,3.6
The Temptations,23,3.5
Tubeway Army,17,3.4
The Supremes,22,3.4
Nathan Dawe;Ella Henderson,26,3.3
Kevin Roldan,14,3.1
Out of Nowhere,8,3.0
Padra,6,3.0
Wolfgang Amadeus Mozart;Ingrid Haebler,9,2.9
Lizzo,40,2.8
Brett Eldredge,23,2.8
Farzad Golpayegani,32,2.6
Kim Petras,11,2.5
Dean Martin,110,2.4
Kahtmayan,12,2.1
Lana Del Rey,14,2.0
White Noise for Babies,38,1.7
XERXES THE DARK,7,1.6
Ivan Kozlovsky,8,1.4
Nat King Cole,102,1.4
From The Vastland,19,1.4
Ne-Yo,7,1.4
Lady Gaga,41,1.4
Александр Добронравов,13,1.3
"Группа ""Загадка""",40,1.3
Siavash Amini,13,1.2
The Jackson 5,77,1.1
Fleetwood Mac,7,1.0
Baaroot,7,1.0
Swattrex;YOUNG AND BROKE;Lofi By Swattrex,7,1.0
Stevie Wonder,86,1.0
Black Eyed Peas,10,1.0
David Guetta;MistaJam;John Newman,6,1.0
Ella Fitzgerald,111,1.0
Oleg Pogudin,75,0.9
Morat,8,0.9
Wisin & Yandel,15,0.9
Justin Bieber;Usher,8,0.8
Cami,6,0.8
Alvaro Soler,6,0.8
Trivax,9,0.8
Kodak Black,24,0.8
Becky Hill;Joel Corry,9,0.8
Ñejo & Dalmata,6,0.7
Electroqute,16,0.7
Foals,9,0.7
Blake Shelton,16,0.7
Gelena Velikanova,13,0.6
Vadim Kozin,57,0.6
Joey Montana;Sebastian Yatra,7,0.6
Danna Paola,12,0.6
AMONGST THE ASHES,10,0.6
Saeed Dehghan,7,0.6
Anton Ishutin,10,0.6
Charli XCX,9,0.6
Joel Corry;Mabel,7,0.6
Megan Thee Stallion;Future,9,0.6
Tyler Braden,7,0.6
Tim McGraw,7,0.6
Sergei Lemeshev,45,0.5
Nikolai Erdenko,21,0.5
Lenny Kravitz,10,0.5
Ed Sheeran;Lil Baby,8,0.5
Алёша Димитриевич,8,0.4
Rod Stewart,11,0.4
Jhayco,16,0.4
Tegh,8,0.4
Idlefon,14,0.4
Rojin Sharafi,22,0.4
Cesare Cremonini,9,0.4
Charlie Puth;Jung Kook,15,0.4
BRELAND;Lady A,7,0.4
Yuri Morfessi,12,0.3
Juanes,12,0.3
Gunna;Future;Young Thug,7,0.3
Jason Derulo;Kodak Black,16,0.3
Snoh Aalegra,6,0.3
Counting Crows,12,0.3
Nikolay Erdenko,13,0.2
Nikolay Kopylov,44,0.2
Kevin Roldan;Bryant Myers;Lyanno,6,0.2
Shivered,6,0.2
Alireza Mashayekhi,13,0.2
Martin Shamoonpour,12,0.2
Ixuol,9,0.2
James Brown,16,0.2
Mercedes Sosa,6,0.2
Kacey Musgraves;Camila Cabello,13,0.2
Volbeat,6,0.2
Владимир Бунчиков,17,0.1
Rod Stewart;Michael Bublé,11,0.1
Guaynaa,8,0.1
22Gz;Kodak Black,9,0.1
Mariah Angeliq;Guaynaa,7,0.1
Living Room,10,0.1
Louis Armstrong;The Commanders,13,0.1
Jamie Cullum,30,0.1
Ata Ebtekar,7,0.1
Integral Rigor,10,0.1
Alireza Mashayekhi;Ata Ebtekar;The Iranian Orchestra For New Music,9,0.1
Azhirock,12,0.1
Angband,16,0.1
Spuntic,35,0.1
Jaleh Negari,10,0.1
Beshenitar,9,0.1
Randall King,10,0.1
Chris Janson,12,0.1
Robert Schumann;Pavel Nersessian,26,0.1
Pyotr Ilyich Tchaikovsky;Berliner Philharmoniker;Mstislav Rostropovich,7,0.1
Johann Sebastian Bach;Boston Pops Orchestra;Arthur Fiedler,9,0.1
Chris Rea,7,0.1
Holly Humberstone,11,0.1
Carola,10,0.0
Percy Sledge,9,0.0
The Staple Singers,9,0.0
Olivia Dean,8,0.0
dvsn,6,0.0
Aloe Blacc,6,0.0
Mary J. Blige,6,0.0
Baby Lullaby,6,0.0
Meditation Rain Sounds;Massage Tribe;Perfect Meditation;Relaxing Water Sounds,10,0.0
Traditional;London Philharmonic Orchestra;The London Philharmonic Chorus,11,0.0
Traditional;Royal Philharmonic Orchestra,8,0.0
Traditional;Les Chanteurs de la Vierge,9,0.0
Traditional;Cappella Musicale di Santa Maria in Campitelli di Roma;Vincenzo Di Betta,14,0.0
Traditional;Richard Benson and His Orchestra,8,0.0
Traditional;Christoph Israel;Swonderful Orchestra;Catherine Larsen-Maguire,6,0.0
Yuri Buenaventura,7,0.0
Fresco Trey;Einer Bankz,7,0.0
Vladimir Nechaev;Владимир Бунчиков,8,0.0
Сергей Зыков,15,0.0
Сергей Захаров,7,0.0
Nikolay Nikitskiy,8,0.0
Izabella Jur'eva,7,0.0
"Nikolai Erdenko;Ансамбль ""Джанг""",18,0.0
Vladimir Nechaev,22,0.0
Валерий Агафонов,12,0.0
Alfredo Kraus;Symphony Orchestra of Madrid;Kurt Sanderling,8,0.0
Mariah Angeliq,21,0.0
Sammy Davis Jr.,8,0.0
Mel Tormé,8,0.0
Nat King Cole Trio,14,0.0
Vince Guaraldi Trio,28,0.0
Peggy Lee,44,0.0
Tony Bennett;Lady Gaga,14,0.0
Nat King Cole;John Legend,14,0.0
Jack Jones,8,0.0
Gregory Porter,7,0.0
Eternal Griefs,6,0.0
Sabke Morde,6,0.0
Alireza Mashayekhi;Marie-Thérèse Grisenti;Marc Vitantonio;Duo Grisenti Vitantonio,8,0.0
Atria,8,0.0
Asef Akbari,7,0.0
Garhelenth,11,0.0
Kiawasch Sahebnassagh;Amirhosein Allah Yari,7,0.0
Alireza Mashayekhi;Djamchid Chemirani;Keyvan Chemirani,7,0.0
Ekwon,10,0.0
Siavash Amini;Hessam Ohadi;Nima Pourkarimi,8,0.0
Alireza Mashayekhi;Layla Ramezan,7,0.0
Tension Prophecy,8,0.0
Kiawasch Sahebnassagh,22,0.0
Alireza Mashayekhi;National Symphony Orchestra of Ukraine;Vladimir Sirenko,11,0.0
Deathtune,10,0.0
Chaos Descent,14,0.0
Najand,33,0.0
Leila Bela,23,0.0
ArtSaves,8,0.0
War Angel,13,0.0
Hayley Kiyoko,14,0.0
Sarah Connor,28,0.0
Smokey Robinson & The Miracles,10,0.0
Marvin Gaye,9,0.0
Andrew Bird,9,0.0
Pretenders,7,0.0
Tom Petty and the Heartbreakers,17,0.0
The Ready Set,7,0.0
Chino & Nacho,6,0.0
Kylie Minogue,7,0.0
Charli XCX;Rina Sawayama,15,0.0
Years & Years,6,0.0
Allessa,7,0.0
Wiz Khalifa,10,0.0
High Valley,7,0.0
RaeLynn,8,0.0
Morgan Evans,9,0.0
Ashley McBryde,7,0.0
Michael Ray,16,0.0
Devin Dawson,9,0.0
Ian Munsick,9,0.0
Travis Tritt,6,0.0
Kacey Musgraves;Leon Bridges,11,0.0
Kacey Musgraves;Lana Del Rey,13,0.0
Kenny Chesney,13,0.0
Giuseppe Verdi;Vincenzo Ciliberti,11,0.0
George Frideric Handel;The English Concert;Trevor Pinnock;The English Concert Choir,6,0.0
Edvard Grieg;Una Bourne,9,0.0
Alvin & The Chipmunks;David Seville,12,0.0
Eric Burdon,11,0.0
Amadou & Mariam,7,0.0
Mahalia,9,0.0
Sturgill Simpson,6,0.0
Eels,7,0.0
The Killers;Ryan Pardey,6,0.0
