artista,total_musicas,popularidade_media
Samuel Kim,29,46.4
Eduardo Costa,20,46.3
Edwin Luna y La Trakalosa de Monterrey,8,46.3
Grupo Clareou,7,46.3
Dimash Qudaibergen,7,46.3
S.H.E,6,46.3
Plini,6,46.3
Mariya Takeuchi,7,46.3
Portishead,19,46.3
Lucas Reis & Thácio,9,46.2
George Henrique & Rodrigo,6,46.2
Simple Plan,12,46.2
Vitinho,22,46.2
Iguinho e Lulinha,19,46.2
Cyndi Lauper,11,46.2
Koe Wetzel,9,46.2
Matogrosso & Mathias,16,46.1
Julio Preciado Y Su Banda Perla Del Pacifico,7,46.1
Anuradha Paudwal,15,46.1
Atitude 67,9,46.1
Dua Lipa,12,46.1
Miriam Yeung,9,46.1
Christian Löffler,9,46.1
Machine Head,11,46.1
Weißes Rauschen HD,47,46.0
Gian & Giovani,7,46.0
Last Child,12,46.0
Grupo Presença,7,46.0
Weval,7,46.0
A-Lin,9,46.0
Yoga Lin,8,46.0
MYST,6,46.0
Indila,21,46.0
Absolute Valentine,6,46.0
Colo de Deus,6,46.0
Enjambre,10,46.0
Stone Temple Pilots,12,46.0
Hoobastank,10,46.0
Emir Can İğrek,7,45.9
Jorge & Mateus,18,45.9
Victor & Leo,10,45.9
Amaranthe,14,45.9
Zé Vaqueiro,20,45.9
The Lumineers,12,45.9
3030,7,45.9
Diego & Arnaldo,6,45.8
Banda Rancho Viejo De Julio Aramburo La Bandononona,6,45.8
The Outfield,8,45.8
Sanah Moidutty,8,45.8
Scorpions,21,45.8
Belle and the Nursery Rhymes Band,6,45.8
Faye Wong,30,45.8
Eason Chan,61,45.8
Tony Anderson,13,45.8
3 Doors Down,17,45.8
Thiaguinho,30,45.7
Os Travessos,6,45.7
Oliver Koletzki,7,45.7
Ministério Adoração e Vida,7,45.7
Red Hot Chili Peppers,49,45.7
El Coyote Y Su Banda Tierra Santa,11,45.6
BABYMETAL,16,45.6
Kijugo,23,45.6
Godsmack,12,45.6
Péricles,27,45.5
Layton Giordani,6,45.5
MC Hariel,17,45.5
Pink Guy,18,45.5
Peppa Pig,23,45.5
Avoure,7,45.4
Tá Na Mente,7,45.4
Di Propósito,11,45.4
Enigma,49,45.4
Sérgio Reis,10,45.3
Banda Cuisillos,18,45.3
Dead by April,21,45.3
Joachim Pastor,8,45.3
Le Castle Vania,11,45.3
Gustavo Santaolalla,12,45.3
Turma do Pagode,21,45.2
